Time,Vout
1553,0.083
1554,0.083
1555,0.108
1556,0.121
1557,0.118
1558,0.123
1559,0.2
1560,0.13
1561,0.143
1562,0.109
1563,0.092
1564,0.116
1565,0.083
1566,0.03
1567,0.107
1568,0.123
1569,0.087
1570,0.12
1571,0.123
1572,0.235
1573,0.122
1574,0.129
1575,0.123
1576,0.109
1577,0.051
1578,0.065
1579,0.091
1580,0.085
1581,0.096
1582,0.114
1583,0.104
1584,0.178
1585,0.188
1586,0.132
1587,0.111
1588,0.072
1589,0.09
1590,0.116
1591,0.016
1592,0.088
1593,0.094
1594,0.109
1595,0.122
1596,0.12
1597,0.211
1598,0.138
1599,0.134
1600,0.103
1601,0.112
1602,0.084
1603,0.102
1604,0.09
1605,0.109
1606,0.12
1607,0.102
1608,0.13
1609,0.109
1610,0.241
1611,0.111
1612,0.125
1613,0.127
1614,0.124
1615,0.127
1616,0.06
1617,0.105
1618,0.103
1619,0.095
1620,0.114
1621,0.197
1622,0.19
1623,0.142
1624,0.128
1625,0.116
1626,0.083
1627,0.099
1628,0.054
1629,0.017
1630,0.112
1631,0.122
1632,0.106
1633,0.113
1634,0.124
1635,0.228
1636,0.139
1637,0.137
1638,0.117
1639,0.15
1640,0.115
1641,0.104
